"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2021","AirNow","480131090","1","4.6","ug/m3 LC","19","Von Ormy Highway 16","1","100.0000","88101","PM2.5 - Local Conditions","41700","San Antonio-New Braunfels, TX","48","Texas","013","Atascosa","29.162997","-98.589158"
"01/02/2021","AirNow","480131090","1","3.7","ug/m3 LC","15","Von Ormy Highway 16","1","100.0000","88101","PM2.5 - Local Conditions","41700","San Antonio-New Braunfels, TX","48","Texas","013","Atascosa","29.162997","-98.589158"
"01/03/2021","AirNow","480131090","1","6.3","ug/m3 LC","26","Von Ormy Highway 16","1","100.0000","88101","PM2.5 - Local Conditions","41700","San Antonio-New Braunfels, TX","48","Texas","013","Atascosa","29.162997","-98.589158"
"01/04/2021","AirNow","480131090","1","6.4","ug/m3 LC","27","Von Ormy Highway 16","1","100.0000","88101","PM2.5 - Local Conditions","41700","San Antonio-New Braunfels, TX","48","Texas","013","Atascosa","29.162997","-98.589158"
"01/05/2021","AirNow","480131090","1","7.7","ug/m3 LC","32","Von Ormy Highway 16","1","100.0000","88101","PM2.5 - Local Conditions","41700","San Antonio-New Braunfels, TX","48","Texas","013","Atascosa","29.162997","-98.589158"
"01/06/2021","AirNow","480131090","1","3.5","ug/m3 LC","15","Von Ormy Highway 16","1","100.0000","88101","PM2.5 - Local Conditions","41700","San Antonio-New Braunfels, TX","48","Texas","013","Atascosa","29.162997","-98.589158"
"01/07/2021","AirNow","480131090","1","3.6","ug/m3 LC","15","Von Ormy Highway 16","1","100.0000","88101","PM2.5 - Local Conditions","41700","San Antonio-New Braunfels, TX","48","Texas","013","Atascosa","29.162997","-98.589158"
"01/08/2021","AirNow","480131090","1","5","ug/m3 LC","21","Von Ormy Highway 16","1","100.0000","88101","PM2.5 - Local Conditions","41700","San Antonio-New Braunfels, TX","48","Texas","013","Atascosa","29.162997","-98.589158"
"01/09/2021","AirNow","480131090","1","6","ug/m3 LC","25","Von Ormy Highway 16","1","100.0000","88101","PM2.5 - Local Conditions","41700","San Antonio-New Braunfels, TX","48","Texas","013","Atascosa","29.162997","-98.589158"
"01/10/2021","AirNow","480131090","1","6","ug/m3 LC","25","Von Ormy Highway 16","1","100.0000","88101","PM2.5 - Local Conditions","41700","San Antonio-New Braunfels, TX","48","Texas","013","Atascosa","29.162997","-98.589158"
"01/11/2021","AirNow","480131090","1","5.4","ug/m3 LC","23","Von Ormy Highway 16","1","100.0000","88101","PM2.5 - Local Conditions","41700","San Antonio-New Braunfels, TX","48","Texas","013","Atascosa","29.162997","-98.589158"
"01/12/2021","AirNow","480131090","1","8.5","ug/m3 LC","35","Von Ormy Highway 16","1","100.0000","88101","PM2.5 - Local Conditions","41700","San Antonio-New Braunfels, TX","48","Texas","013","Atascosa","29.162997","-98.589158"
"01/13/2021","AirNow","480131090","1","8.9","ug/m3 LC","37","Von Ormy Highway 16","1","100.0000","88101","PM2.5 - Local Conditions","41700","San Antonio-New Braunfels, TX","48","Texas","013","Atascosa","29.162997","-98.589158"
"01/14/2021","AirNow","480131090","1","7.9","ug/m3 LC","33","Von Ormy Highway 16","1","100.0000","88101","PM2.5 - Local Conditions","41700","San Antonio-New Braunfels, TX","48","Texas","013","Atascosa","29.162997","-98.589158"
"01/01/2021","AirNow","480271045","1","0.5","ug/m3 LC","2","Temple Georgia","1","100.0000","88101","PM2.5 - Local Conditions","28660","Killeen-Temple, TX","48","Texas","027","Bell","31.122419","-97.431052"
"01/02/2021","AirNow","480271045","1","3.7","ug/m3 LC","15","Temple Georgia","1","100.0000","88101","PM2.5 - Local Conditions","28660","Killeen-Temple, TX","48","Texas","027","Bell","31.122419","-97.431052"
"01/03/2021","AirNow","480271045","1","6.2","ug/m3 LC","26","Temple Georgia","1","100.0000","88101","PM2.5 - Local Conditions","28660","Killeen-Temple, TX","48","Texas","027","Bell","31.122419","-97.431052"
"01/04/2021","AirNow","480271045","1","4.7","ug/m3 LC","20","Temple Georgia","1","100.0000","88101","PM2.5 - Local Conditions","28660","Killeen-Temple, TX","48","Texas","027","Bell","31.122419","-97.431052"
