geo_id,val,se,sample_size,date
al,87,,,20181231
ar,179,,,20181231
az,278,,,20181231
ca,503,,,20181231
co,222,,,20181231
ct,145,,,20181231
dc,47,,,20181231
fl,2473,,,20181231
ga,967,,,20181231
hi,73,,,20181231
ia,59,,,20181231
id,22,,,20181231
il,762,,,20181231
in,644,,,20181231
ks,143,,,20181231
ky,259,,,20181231
la,1270,,,20181231
ma,179,,,20181231
md,252,,,20181231
mi,809,,,20181231
mn,327,,,20181231
mo,352,,,20181231
ms,16,,,20181231
mt,32,,,20181231
nc,441,,,20181231
ne,54,,,20181231
nj,85,,,20181231
nm,20,,,20181231
nv,167,,,20181231
ny,612,,,20181231
oh,999,,,20181231
ok,138,,,20181231
or,65,,,20181231
pa,454,,,20181231
ri,34,,,20181231
sc,293,,,20181231
tn,361,,,20181231
tx,1716,,,20181231
ut,42,,,20181231
va,411,,,20181231
wi,92,,,20181231
al,56,,,20190101
ar,118,,,20190101
az,278,,,20190101
ca,581,,,20190101
co,286,,,20190101
ct,93,,,20190101
dc,19,,,20190101
fl,1953,,,20190101
ga,798,,,20190101
hi,114,,,20190101
ia,18,,,20190101
id,6,,,20190101
il,531,,,20190101
in,467,,,20190101
ks,122,,,20190101
ky,197,,,20190101
la,1013,,,20190101
ma,163,,,20190101
md,198,,,20190101
mi,480,,,20190101
mn,295,,,20190101
mo,264,,,20190101
ms,8,,,20190101
mt,18,,,20190101
nc,324,,,20190101
ne,35,,,20190101
nj,65,,,20190101
nm,15,,,20190101
nv,167,,,20190101
ny,497,,,20190101
oh,476,,,20190101
ok,76,,,20190101
or,38,,,20190101
pa,248,,,20190101
ri,26,,,20190101
sc,145,,,20190101
tn,216,,,20190101
tx,1256,,,20190101
ut,25,,,20190101
va,376,,,20190101
wi,72,,,20190101
al,61,,,20190102
ar,243,,,20190102
az,323,,,20190102
ca,587,,,20190102
co,250,,,20190102
ct,70,,,20190102
dc,28,,,20190102
fl,1992,,,20190102
ga,993,,,20190102
hi,104,,,20190102
ia,22,,,20190102
id,13,,,20190102
il,691,,,20190102
in,492,,,20190102
ks,178,,,20190102
ky,214,,,20190102
la,746,,,20190102
ma,116,,,20190102
md,186,,,20190102
mi,667,,,20190102
mn,279,,,20190102
mo,315,,,20190102
ms,7,,,20190102
mt,24,,,20190102
nc,272,,,20190102
ne,65,,,20190102
nj,50,,,20190102
nm,30,,,20190102
nv,163,,,20190102
ny,408,,,20190102
oh,641,,,20190102
ok,89,,,20190102
or,51,,,20190102
pa,202,,,20190102
ri,12,,,20190102
sc,176,,,20190102
tn,192,,,20190102
tx,1371,,,20190102
ut,12,,,20190102
va,378,,,20190102
wi,64,,,20190102
al,55,,,20190103
ar,140,,,20190103
az,213,,,20190103
ca,516,,,20190103
co,216,,,20190103
ct,44,,,20190103
dc,22,,,20190103
fl,1848,,,20190103
ga,832,,,20190103
hi,56,,,20190103
ia,27,,,20190103
id,1,,,20190103
il,608,,,20190103
in,587,,,20190103
ks,98,,,20190103
ky,171,,,20190103
la,737,,,20190103
ma,83,,,20190103
md,195,,,20190103
mi,536,,,20190103
mn,236,,,20190103
mo,208,,,20190103
ms,7,,,20190103
mt,21,,,20190103
nc,213,,,20190103
ne,67,,,20190103
nj,66,,,20190103
nm,14,,,20190103
nv,128,,,20190103
ny,396,,,20190103
oh,460,,,20190103
ok,53,,,20190103
or,23,,,20190103
pa,167,,,20190103
ri,14,,,20190103
sc,121,,,20190103
tn,183,,,20190103
tx,1391,,,20190103
ut,7,,,20190103
va,326,,,20190103
wi,53,,,20190103
al,69,,,20190104
ar,171,,,20190104
az,307,,,20190104
ca,681,,,20190104
co,302,,,20190104
ct,91,,,20190104
dc,56,,,20190104
fl,2458,,,20190104
ga,1109,,,20190104
hi,93,,,20190104
ia,72,,,20190104
id,20,,,20190104
il,790,,,20190104
in,791,,,20190104
ks,120,,,20190104
ky,249,,,20190104
la,903,,,20190104
ma,163,,,20190104
md,296,,,20190104
mi,797,,,20190104
mn,323,,,20190104
mo,368,,,20190104
ms,9,,,20190104
mt,35,,,20190104
nc,367,,,20190104
ne,74,,,20190104
nj,120,,,20190104
nm,32,,,20190104
nv,122,,,20190104
ny,615,,,20190104
oh,756,,,20190104
ok,106,,,20190104
or,31,,,20190104
pa,416,,,20190104
ri,28,,,20190104
sc,156,,,20190104
tn,285,,,20190104
tx,2146,,,20190104
ut,13,,,20190104
va,474,,,20190104
wi,70,,,20190104
al,91,,,20190105
ar,286,,,20190105
az,420,,,20190105
ca,730,,,20190105
co,336,,,20190105
ct,158,,,20190105
dc,42,,,20190105
fl,2979,,,20190105
ga,1427,,,20190105
hi,107,,,20190105
ia,68,,,20190105
id,36,,,20190105
il,1048,,,20190105
in,964,,,20190105
ks,214,,,20190105
ky,423,,,20190105
la,1170,,,20190105
ma,266,,,20190105
md,458,,,20190105
mi,974,,,20190105
mn,471,,,20190105
mo,530,,,20190105
ms,13,,,20190105
mt,16,,,20190105
nc,662,,,20190105
ne,59,,,20190105
nj,134,,,20190105
nm,27,,,20190105
nv,160,,,20190105
ny,939,,,20190105
oh,1188,,,20190105
ok,194,,,20190105
or,81,,,20190105
pa,671,,,20190105
ri,31,,,20190105
sc,312,,,20190105
tn,372,,,20190105
tx,2300,,,20190105
ut,36,,,20190105
va,650,,,20190105
wi,138,,,20190105
al,40,,,20190106
ar,141,,,20190106
az,281,,,20190106
ca,560,,,20190106
co,241,,,20190106
ct,112,,,20190106
dc,16,,,20190106
fl,2088,,,20190106
ga,742,,,20190106
hi,78,,,20190106
ia,30,,,20190106
id,13,,,20190106
il,551,,,20190106
in,590,,,20190106
ks,101,,,20190106
ky,232,,,20190106
la,694,,,20190106
ma,145,,,20190106
md,260,,,20190106
mi,544,,,20190106
mn,264,,,20190106
mo,264,,,20190106
ms,17,,,20190106
mt,21,,,20190106
nc,297,,,20190106
ne,33,,,20190106
nj,88,,,20190106
nm,21,,,20190106
nv,121,,,20190106
ny,581,,,20190106
oh,530,,,20190106
ok,92,,,20190106
or,47,,,20190106
pa,334,,,20190106
ri,19,,,20190106
sc,139,,,20190106
tn,208,,,20190106
tx,1567,,,20190106
ut,20,,,20190106
va,391,,,20190106
wi,76,,,20190106
al,48,,,20190107
ar,60,,,20190107
az,116,,,20190107
ca,294,,,20190107
co,167,,,20190107
ct,27,,,20190107
dc,9,,,20190107
fl,1322,,,20190107
ga,317,,,20190107
hi,37,,,20190107
ia,25,,,20190107
id,12,,,20190107
il,340,,,20190107
in,396,,,20190107
ks,35,,,20190107
ky,88,,,20190107
la,393,,,20190107
ma,94,,,20190107
md,147,,,20190107
