geo_id,val,se,sample_size,date
1003,48,,,20181231
1081,17,,,20181231
1089,22,,,20181231
4013,223,,,20181231
4019,55,,,20181231
5007,65,,,20181231
5119,114,,,20181231
6013,3,,,20181231
6019,59,,,20181231
6037,131,,,20181231
6059,82,,,20181231
6061,118,,,20181231
6065,8,,,20181231
6073,93,,,20181231
6095,6,,,20181231
6111,3,,,20181231
8005,49,,,20181231
8014,64,,,20181231
8031,76,,,20181231
8035,22,,,20181231
8041,4,,,20181231
8059,7,,,20181231
9003,83,,,20181231
9009,62,,,20181231
11001,47,,,20181231
12005,367,,,20181231
12009,60,,,20181231
12011,125,,,20181231
12019,1,,,20181231
12021,34,,,20181231
12031,176,,,20181231
12035,70,,,20181231
12057,336,,,20181231
12061,12,,,20181231
12069,30,,,20181231
12071,31,,,20181231
12073,16,,,20181231
12085,63,,,20181231
12086,92,,,20181231
12091,58,,,20181231
12095,386,,,20181231
12097,41,,,20181231
12099,137,,,20181231
12101,31,,,20181231
12103,102,,,20181231
12105,58,,,20181231
12109,18,,,20181231
12111,178,,,20181231
12117,43,,,20181231
12127,8,,,20181231
13057,41,,,20181231
13067,130,,,20181231
13089,90,,,20181231
13113,17,,,20181231
13117,81,,,20181231
13121,258,,,20181231
13135,350,,,20181231
15003,73,,,20181231
16001,22,,,20181231
17031,522,,,20181231
17043,151,,,20181231
17063,0,,,20181231
17089,11,,,20181231
17093,4,,,20181231
17097,6,,,20181231
17111,1,,,20181231
17167,34,,,20181231
17197,32,,,20181231
17201,1,,,20181231
18001,4,,,20181231
18003,70,,,20181231
18021,5,,,20181231
18035,2,,,20181231
18037,11,,,20181231
18039,12,,,20181231
18049,10,,,20181231
18051,27,,,20181231
18057,47,,,20181231
18059,2,,,20181231
18063,5,,,20181231
18067,1,,,20181231
18069,5,,,20181231
18081,20,,,20181231
18085,5,,,20181231
18089,12,,,20181231
18091,13,,,20181231
18097,167,,,20181231
18099,12,,,20181231
18103,3,,,20181231
18113,1,,,20181231
18127,1,,,20181231
18141,81,,,20181231
18145,0,,,20181231
18151,24,,,20181231
18157,11,,,20181231
18163,59,,,20181231
18167,5,,,20181231
18169,0,,,20181231
18173,17,,,20181231
18179,9,,,20181231
18183,3,,,20181231
19013,30,,,20181231
19153,11,,,20181231
19193,18,,,20181231
20091,80,,,20181231
20173,1,,,20181231
20209,62,,,20181231
21015,81,,,20181231
21019,0,,,20181231
21059,43,,,20181231
21067,32,,,20181231
21083,0,,,20181231
21101,21,,,20181231
21107,4,,,20181231
21111,62,,,20181231
21227,16,,,20181231
22019,1094,,,20181231
22071,176,,,20181231
24005,69,,,20181231
24031,75,,,20181231
24033,86,,,20181231
24043,11,,,20181231
24510,11,,,20181231
25005,22,,,20181231
25017,70,,,20181231
25021,82,,,20181231
25025,5,,,20181231
26021,44,,,20181231
26023,6,,,20181231
26049,1,,,20181231
26065,46,,,20181231
26077,16,,,20181231
26081,172,,,20181231
26099,215,,,20181231
26125,114,,,20181231
26139,2,,,20181231
26147,5,,,20181231
26149,7,,,20181231
26161,20,,,20181231
26163,161,,,20181231
27053,327,,,20181231
28033,16,,,20181231
29031,63,,,20181231
29077,7,,,20181231
29095,13,,,20181231
29165,44,,,20181231
29183,38,,,20181231
29189,174,,,20181231
29510,13,,,20181231
30029,32,,,20181231
31055,22,,,20181231
31109,32,,,20181231
32003,167,,,20181231
34011,2,,,20181231
34021,23,,,20181231
34023,21,,,20181231
34025,39,,,20181231
35001,20,,,20181231
36001,13,,,20181231
36027,12,,,20181231
36029,95,,,20181231
36055,22,,,20181231
36059,75,,,20181231
36061,62,,,20181231
36067,21,,,20181231
36071,12,,,20181231
36085,127,,,20181231
36103,170,,,20181231
36119,3,,,20181231
37025,119,,,20181231
37045,8,,,20181231
37051,21,,,20181231
37081,21,,,20181231
37119,123,,,20181231
37129,94,,,20181231
37183,55,,,20181231
39017,26,,,20181231
39035,226,,,20181231
39041,60,,,20181231
39049,204,,,20181231
39061,161,,,20181231
39085,13,,,20181231
39095,123,,,20181231
39113,94,,,20181231
39121,6,,,20181231
39151,2,,,20181231
39153,7,,,20181231
39165,24,,,20181231
39167,12,,,20181231
39173,41,,,20181231
40109,68,,,20181231
40143,70,,,20181231
41005,65,,,20181231
42003,166,,,20181231
42011,22,,,20181231
42017,31,,,20181231
42019,12,,,20181231
42077,21,,,20181231
42079,9,,,20181231
42091,48,,,20181231
42101,130,,,20181231
42129,7,,,20181231
42133,8,,,20181231
44003,1,,,20181231
44007,33,,,20181231
45019,16,,,20181231
45021,9,,,20181231
45045,131,,,20181231
45051,132,,,20181231
45083,5,,,20181231
45091,0,,,20181231
47037,111,,,20181231
47065,16,,,20181231
47113,15,,,20181231
47149,12,,,20181231
47155,1,,,20181231
47157,189,,,20181231
47179,17,,,20181231
48029,180,,,20181231
48085,90,,,20181231
48113,321,,,20181231
48121,32,,,20181231
48157,234,,,20181231
48167,127,,,20181231
48201,218,,,20181231
48215,34,,,20181231
48339,57,,,20181231
48439,332,,,20181231
48453,70,,,20181231
48491,21,,,20181231
49035,42,,,20181231
51013,52,,,20181231
51059,127,,,20181231
51087,41,,,20181231
51095,1,,,20181231
51107,23,,,20181231
51153,52,,,20181231
51550,16,,,20181231
51650,33,,,20181231
51683,10,,,20181231
51700,17,,,20181231
51770,21,,,20181231
51810,18,,,20181231
55025,11,,,20181231
55079,81,,,20181231
1003,30,,,20190101
1081,6,,,20190101
1089,20,,,20190101
4013,225,,,20190101
4019,53,,,20190101
5007,47,,,20190101
5119,71,,,20190101
6013,0,,,20190101
6019,38,,,20190101
6037,184,,,20190101
6059,88,,,20190101
6061,173,,,20190101
6065,7,,,20190101
6073,87,,,20190101
6095,4,,,20190101
6111,0,,,20190101
8005,59,,,20190101
8014,78,,,20190101
8031,106,,,20190101
8035,26,,,20190101
8041,7,,,20190101
8059,10,,,20190101
9003,45,,,20190101
9009,48,,,20190101
11001,19,,,20190101
12005,74,,,20190101
12009,58,,,20190101
12011,131,,,20190101
12019,4,,,20190101
12021,30,,,20190101
12031,182,,,20190101
12035,73,,,20190101
12057,319,,,20190101
12061,14,,,20190101
12069,34,,,20190101
12071,14,,,20190101
12073,7,,,20190101
12085,46,,,20190101
12086,80,,,20190101
12091,35,,,20190101
12095,357,,,20190101
12097,28,,,20190101
12099,100,,,20190101
12101,26,,,20190101
12103,125,,,20190101
12105,65,,,20190101
12109,16,,,20190101
12111,59,,,20190101
12117,65,,,20190101
12127,11,,,20190101
13057,20,,,20190101
13067,125,,,20190101
13089,50,,,20190101
13113,12,,,20190101
13117,50,,,20190101
13121,181,,,20190101
13135,360,,,20190101
15003,114,,,20190101
16001,6,,,20190101
17031,331,,,20190101
17043,124,,,20190101
17063,0,,,20190101
17089,8,,,20190101
17093,2,,,20190101
17097,5,,,20190101
17111,3,,,20190101
17167,22,,,20190101
17197,36,,,20190101
17201,0,,,20190101
18001,4,,,20190101
18003,42,,,20190101
18021,7,,,20190101
18035,0,,,20190101
18037,7,,,20190101
18039,12,,,20190101
18049,19,,,20190101
18051,30,,,20190101
18057,20,,,20190101
18059,1,,,20190101
18063,3,,,20190101
18067,1,,,20190101
18069,3,,,20190101
18081,17,,,20190101
18085,8,,,20190101
18089,6,,,20190101
18091,13,,,20190101
18097,103,,,20190101
18099,6,,,20190101
18103,1,,,20190101
18113,0,,,20190101
18127,5,,,20190101
18141,75,,,20190101
18145,0,,,20190101
18151,21,,,20190101
18157,24,,,20190101
18163,8,,,20190101
18167,2,,,20190101
18169,0,,,20190101
18173,19,,,20190101
18179,8,,,20190101
18183,2,,,20190101
19013,3,,,20190101
19153,8,,,20190101
19193,7,,,20190101
20091,73,,,20190101
20173,0,,,20190101
20209,49,,,20190101
21015,91,,,20190101
21019,0,,,20190101
21059,21,,,20190101
21067,14,,,20190101
21083,0,,,20190101
21101,9,,,20190101
21107,7,,,20190101
21111,38,,,20190101
21227,17,,,20190101
22019,819,,,20190101
22071,194,,,20190101
24005,57,,,20190101
24031,62,,,20190101
24033,69,,,20190101
24043,8,,,20190101
24510,2,,,20190101
25005,17,,,20190101
25017,83,,,20190101
25021,59,,,20190101
25025,4,,,20190101
26021,45,,,20190101
26023,2,,,20190101
26049,0,,,20190101
26065,23,,,20190101
26077,11,,,20190101
26081,120,,,20190101
26099,88,,,20190101
26125,56,,,20190101
26139,0,,,20190101
26147,6,,,20190101
26149,7,,,20190101
26161,19,,,20190101
26163,103,,,20190101
27053,295,,,20190101
28033,8,,,20190101
29031,59,,,20190101
29077,12,,,20190101
29095,7,,,20190101
29165,12,,,20190101
29183,27,,,20190101
29189,140,,,20190101
29510,7,,,20190101
30029,18,,,20190101
31055,15,,,20190101
31109,20,,,20190101
32003,167,,,20190101
34011,1,,,20190101
34021,8,,,20190101
34023,20,,,20190101
34025,36,,,20190101
35001,15,,,20190101
36001,23,,,20190101
36027,6,,,20190101
36029,116,,,20190101
36055,17,,,20190101
36059,28,,,20190101
36061,53,,,20190101
36067,24,,,20190101
36071,7,,,20190101
36085,107,,,20190101
36103,115,,,20190101
36119,1,,,20190101
37025,80,,,20190101
37045,11,,,20190101
37051,7,,,20190101
37081,22,,,20190101
37119,75,,,20190101
37129,85,,,20190101
37183,44,,,20190101
39017,12,,,20190101
39035,92,,,20190101
39041,8,,,20190101
39049,99,,,20190101
39061,86,,,20190101
39085,6,,,20190101
39095,84,,,20190101
39113,42,,,20190101
