geo_id,val,se,sample_size,date
ms,8075,,,20190115
mt,896,,,20190115
nc,30129,,,20190115
nd,1592,,,20190115
ne,4277,,,20190115
nh,970,,,20190115
nj,9253,,,20190115
nm,2879,,,20190115
nv,6007,,,20190115
ny,18496,,,20190115
oh,26253,,,20190115
ok,13954,,,20190115
or,4773,,,20190115
pa,14335,,,20190115
ri,701,,,20190115
sc,14299,,,20190115
sd,1667,,,20190115
tn,21370,,,20190115
tx,98001,,,20190115
ut,4271,,,20190115
va,18306,,,20190115
vt,315,,,20190115
wa,6798,,,20190115
wi,8256,,,20190115
wv,3259,,,20190115
wy,772,,,20190115
ak,289,,,20190116
al,21685,,,20190116
ar,9383,,,20190116
az,17455,,,20190116
ca,62111,,,20190116
co,11973,,,20190116
ct,2339,,,20190116
dc,3466,,,20190116
de,1770,,,20190116
fl,71080,,,20190116
ga,38075,,,20190116
hi,1677,,,20190116
ia,6443,,,20190116
id,2236,,,20190116
il,23176,,,20190116
in,15642,,,20190116
ks,6766,,,20190116
ky,12267,,,20190116
la,11412,,,20190116
ma,5814,,,20190116
md,10959,,,20190116
me,1074,,,20190116
mi,16230,,,20190116
mn,8724,,,20190116
mo,15515,,,20190116
ms,7589,,,20190116
mt,969,,,20190116
nc,31665,,,20190116
nd,1677,,,20190116
ne,4597,,,20190116
nh,1190,,,20190116
nj,9671,,,20190116
nm,2970,,,20190116
nv,6902,,,20190116
ny,18950,,,20190116
oh,28948,,,20190116
ok,14686,,,20190116
or,5089,,,20190116
pa,14858,,,20190116
ri,827,,,20190116
sc,15165,,,20190116
sd,1641,,,20190116
tn,22988,,,20190116
tx,102544,,,20190116
ut,4279,,,20190116
va,19434,,,20190116
vt,328,,,20190116
wa,7060,,,20190116
wi,9273,,,20190116
wv,3352,,,20190116
wy,828,,,20190116
ak,278,,,20190117
al,22674,,,20190117
ar,9665,,,20190117
az,18013,,,20190117
ca,64788,,,20190117
co,12603,,,20190117
ct,2455,,,20190117
dc,3281,,,20190117
de,1794,,,20190117
fl,74876,,,20190117
ga,39423,,,20190117
hi,1651,,,20190117
ia,6504,,,20190117
id,2204,,,20190117
il,24152,,,20190117
in,15424,,,20190117
ks,6849,,,20190117
ky,13000,,,20190117
la,12203,,,20190117
ma,6339,,,20190117
md,10817,,,20190117
me,940,,,20190117
mi,16497,,,20190117
mn,9174,,,20190117
mo,16233,,,20190117
ms,8017,,,20190117
mt,1038,,,20190117
nc,32803,,,20190117
nd,1696,,,20190117
ne,4764,,,20190117
nh,1270,,,20190117
nj,9904,,,20190117
nm,3117,,,20190117
nv,7091,,,20190117
ny,19845,,,20190117
oh,28221,,,20190117
ok,15774,,,20190117
or,5170,,,20190117
pa,15413,,,20190117
ri,827,,,20190117
sc,16175,,,20190117
sd,1691,,,20190117
tn,23200,,,20190117
tx,109622,,,20190117
ut,4717,,,20190117
va,19923,,,20190117
vt,320,,,20190117
wa,7335,,,20190117
wi,9698,,,20190117
wv,3375,,,20190117
wy,935,,,20190117
ak,342,,,20190118
al,32022,,,20190118
ar,13220,,,20190118
az,25168,,,20190118
ca,87305,,,20190118
co,15156,,,20190118
ct,3447,,,20190118
dc,3017,,,20190118
de,2564,,,20190118
fl,99447,,,20190118
ga,56834,,,20190118
hi,2119,,,20190118
ia,6823,,,20190118
id,3299,,,20190118
il,32372,,,20190118
in,25539,,,20190118
ks,9728,,,20190118
ky,18889,,,20190118
la,17819,,,20190118
ma,8402,,,20190118
md,15331,,,20190118
me,1226,,,20190118
mi,24468,,,20190118
mn,11991,,,20190118
mo,22386,,,20190118
ms,11637,,,20190118
mt,1383,,,20190118
nc,47269,,,20190118
nd,2398,,,20190118
ne,4535,,,20190118
nh,1699,,,20190118
nj,14133,,,20190118
nm,4198,,,20190118
nv,9966,,,20190118
ny,24509,,,20190118
oh,44448,,,20190118
ok,22311,,,20190118
