,geo_value,time_value,direction,issue,lag,value,stderr,sample_size
0,357,2020-02-01,,20200506,95,0.0,,
0,357,2020-02-02,,20200506,94,16.732096994382,,
0,357,2020-02-03,0,20200506,93,0.0,,
0,357,2020-02-04,0,20200506,92,0.0,,
0,357,2020-02-05,0,20200506,91,0.0,,
0,357,2020-02-06,0,20200506,90,0.0,,
0,357,2020-02-07,0,20200506,89,0.0,,
0,357,2020-02-08,0,20200506,88,0.0,,
0,357,2020-02-09,0,20200506,87,0.0,,
0,357,2020-02-10,0,20200506,86,0.0,,
0,357,2020-02-11,0,20200506,85,0.0,,
0,357,2020-02-12,0,20200506,84,0.0,,
0,357,2020-02-13,0,20200506,83,0.0,,
0,357,2020-02-14,0,20200506,82,0.0,,
0,357,2020-02-15,0,20200506,81,17.354556178729,,
0,357,2020-02-16,0,20200506,80,0.0,,
0,357,2020-02-17,0,20200506,79,0.0,,
0,357,2020-02-18,0,20200506,78,0.0,,
0,357,2020-02-19,0,20200506,77,0.0,,
0,357,2020-02-20,0,20200506,76,0.0,,
0,357,2020-02-21,0,20200506,75,0.0,,
0,357,2020-02-22,0,20200506,74,2.0271300276858,,
0,357,2020-02-23,0,20200506,73,0.0,,
0,357,2020-02-24,0,20200506,72,0.0,,
0,357,2020-02-25,0,20200506,71,0.0,,
0,357,2020-02-26,0,20200506,70,3.8032820406867,,
0,357,2020-02-27,0,20200506,69,15.308350170361,,
0,357,2020-02-28,0,20200506,68,1.743639223477,,
0,357,2020-02-29,0,20200506,67,16.823820723733,,
0,357,2020-03-01,0,20200506,66,0.0,,
0,357,2020-03-02,0,20200506,65,0.0,,
0,357,2020-03-03,0,20200506,64,16.794326740902,,
0,357,2020-03-04,0,20200506,63,34.052858469926,,
0,357,2020-03-05,0,20200506,62,1.774028364229,,
0,357,2020-03-06,0,20200506,61,14.67368057662,,
0,357,2020-03-07,0,20200506,60,0.0,,
0,357,2020-03-08,0,20200506,59,16.902097459808,,
0,357,2020-03-09,0,20200506,58,45.93037106415,,
0,357,2020-03-10,0,20200506,57,14.210281216013,,
0,357,2020-03-11,0,20200506,56,14.156282679115,,
0,357,2020-03-12,0,20200506,55,24.31066519329,,
0,357,2020-03-13,1,20200506,54,71.806280795762,,
0,357,2020-03-14,0,20200506,53,16.968299120636,,
0,357,2020-03-15,0,20200506,52,52.66230904321,,
0,357,2020-03-16,1,20200506,51,62.119445525492,,
0,357,2020-03-17,1,20200506,50,43.143402105269,,
0,357,2020-03-18,0,20200506,49,29.697506673534,,
0,357,2020-03-19,-1,20200506,48,27.946608467047,,
0,357,2020-03-20,0,20200506,47,55.402352401549,,
0,357,2020-03-21,-1,20200506,46,15.46056660857,,
0,357,2020-03-22,0,20200506,45,46.11494508021,,
0,357,2020-03-23,1,20200506,44,102.61485823017,,
0,357,2020-03-24,1,20200506,43,62.202682867492,,
0,357,2020-03-25,1,20200506,42,57.02120308755,,
0,357,2020-03-26,0,20200506,41,59.853172882871,,
0,357,2020-03-27,0,20200506,40,59.547461443917,,
0,357,2020-03-28,0,20200506,39,58.274520396354,,
0,357,2020-03-29,-1,20200506,38,62.181327260597,,
0,357,2020-03-30,0,20200506,37,65.852620652654,,
0,357,2020-03-31,0,20200506,36,51.561741784891,,
0,357,2020-04-01,0,20200506,35,59.735668009812,,
0,357,2020-04-02,-1,20200506,34,27.594794690815,,
0,357,2020-04-03,-1,20200506,33,34.158229724531,,
0,357,2020-04-04,0,20200506,32,75.392505060694,,
0,357,2020-04-05,-1,20200506,31,3.9827448844141,,
