,geo_value,time_value,direction,issue,lag,value,stderr,sample_size
0,16860,2020-02-01,,20200506,95,0.0,,
0,16860,2020-02-02,,20200506,94,0.0,,
0,16860,2020-02-03,0,20200506,93,0.0,,
0,16860,2020-02-04,0,20200506,92,0.0,,
0,16860,2020-02-05,0,20200506,91,0.0,,
0,16860,2020-02-06,0,20200506,90,0.0,,
0,16860,2020-02-07,0,20200506,89,0.0,,
0,16860,2020-02-08,0,20200506,88,0.0,,
0,16860,2020-02-09,0,20200506,87,0.0,,
0,16860,2020-02-10,0,20200506,86,0.0,,
0,16860,2020-02-11,0,20200506,85,0.0,,
0,16860,2020-02-12,0,20200506,84,0.0,,
0,16860,2020-02-13,0,20200506,83,0.0,,
0,16860,2020-02-14,0,20200506,82,0.0,,
0,16860,2020-02-15,0,20200506,81,0.0,,
0,16860,2020-02-16,0,20200506,80,0.0,,
0,16860,2020-02-17,0,20200506,79,0.0,,
0,16860,2020-02-18,0,20200506,78,0.0,,
0,16860,2020-02-19,0,20200506,77,0.0,,
0,16860,2020-02-20,0,20200506,76,0.0,,
0,16860,2020-02-21,0,20200506,75,0.0,,
0,16860,2020-02-22,0,20200506,74,0.0,,
0,16860,2020-02-23,0,20200506,73,0.0,,
0,16860,2020-02-24,0,20200506,72,0.0,,
0,16860,2020-02-25,0,20200506,71,0.0,,
0,16860,2020-02-26,1,20200506,70,53.259480187473,,
0,16860,2020-02-27,1,20200506,69,53.856096510125,,
0,16860,2020-02-28,1,20200506,68,0.0,,
0,16860,2020-02-29,0,20200506,67,0.0,,
0,16860,2020-03-01,0,20200506,66,0.0,,
0,16860,2020-03-02,-1,20200506,65,0.0,,
0,16860,2020-03-03,0,20200506,64,52.576235541535,,
0,16860,2020-03-04,0,20200506,63,0.0,,
0,16860,2020-03-05,0,20200506,62,0.0,,
0,16860,2020-03-06,1,20200506,61,57.182067703568,,
0,16860,2020-03-07,0,20200506,60,0.0,,
0,16860,2020-03-08,0,20200506,59,0.0,,
0,16860,2020-03-09,-1,20200506,58,0.0,,
0,16860,2020-03-10,0,20200506,57,55.778670236502,,
0,16860,2020-03-11,0,20200506,56,0.0,,
0,16860,2020-03-12,0,20200506,55,0.0,,
0,16860,2020-03-13,1,20200506,54,55.24861878453,,
0,16860,2020-03-14,0,20200506,53,0.0,,
0,16860,2020-03-15,0,20200506,52,0.0,,
0,16860,2020-03-16,0,20200506,51,54.071019033852,,
0,16860,2020-03-17,1,20200506,50,52.731491246572,,
0,16860,2020-03-18,1,20200506,49,106.41221578722,,
0,16860,2020-03-19,1,20200506,48,54.077438892494,,
0,16860,2020-03-20,0,20200506,47,0.0,,
0,16860,2020-03-21,1,20200506,46,122.33912405187,,
0,16860,2020-03-22,0,20200506,45,0.0,,
0,16860,2020-03-23,0,20200506,44,117.4880339076,,
0,16860,2020-03-24,0,20200506,43,99.324596688667,,
0,16860,2020-03-25,0,20200506,42,0.0,,
0,16860,2020-03-26,0,20200506,41,0.0,,
0,16860,2020-03-27,-1,20200506,40,0.0,,
0,16860,2020-03-28,-1,20200506,39,0.0,,
0,16860,2020-03-29,-1,20200506,38,59.630039734874,,
0,16860,2020-03-30,0,20200506,37,0.0,,
0,16860,2020-03-31,0,20200506,36,0.0,,
0,16860,2020-04-01,0,20200506,35,0.0,,
0,16860,2020-04-02,1,20200506,34,154.19831808646,,
0,16860,2020-04-03,0,20200506,33,0.0,,
0,16860,2020-04-04,0,20200506,32,0.0,,
0,16860,2020-04-05,0,20200506,31,0.0,,
0,16860,2020-04-06,0,20200506,30,52.323147760569,,
0,16860,2020-04-07,0,20200506,29,0.0,,
0,16860,2020-04-08,-1,20200506,28,0.0,,
0,16860,2020-04-09,1,20200506,27,107.61945759793,,
0,16860,2020-04-10,0,20200506,26,0.0,,
0,16860,2020-04-11,0,20200506,25,0.0,,
0,16860,2020-04-12,0,20200506,24,0.0,,
0,16860,2020-04-13,0,20200506,23,0.0,,
0,16860,2020-04-14,0,20200506,22,111.60714285714,,
0,16860,2020-04-15,0,20200506,21,53.740326741187,,
0,16860,2020-04-16,0,20200506,20,0.0,,
0,16860,2020-04-17,0,20200506,19,0.0,,
0,16860,2020-04-18,0,20200506,18,0.0,,
0,16860,2020-04-19,-1,20200506,17,0.0,,
0,16860,2020-04-20,-1,20200506,16,0.0,,
0,16860,2020-04-21,-1,20200506,15,0.0,,
0,16860,2020-04-22,0,20200506,14,0.0,,
0,16860,2020-04-23,0,20200506,13,0.0,,
0,16860,2020-04-24,0,20200506,12,0.0,,
0,16860,2020-04-25,0,20200506,11,0.0,,
0,16860,2020-04-26,0,20200506,10,0.0,,
0,16860,2020-04-27,0,20200506,9,0.0,,
0,16860,2020-04-28,0,20200506,8,0.0,,
0,16860,2020-04-29,1,20200506,7,97.601030307187,,
0,16860,2020-04-30,0,20200506,6,0.0,,
0,16860,2020-05-01,0,20200506,5,0.0,,
0,16860,2020-05-02,0,20200506,4,60.856864654333,,
0,16860,2020-05-03,0,20200507,4,0.0,,
0,16860,2020-05-04,0,20200508,4,0.0,,
0,16860,2020-05-05,-1,20200511,6,0.0,,
0,16860,2020-05-06,0,20200511,5,51.420269953383,,
0,16860,2020-05-07,0,20200511,4,0.0,,
0,16860,2020-05-08,0,20200511,3,0.0,,
0,16860,2020-05-09,0,20200513,4,0.0,,
0,16860,2020-05-10,0,20200515,5,0.0,,
0,16860,2020-05-11,-1,20200515,4,0.0,,
0,16860,2020-05-12,-1,20200515,3,0.0,,
0,16860,2020-05-13,0,20200518,5,0.0,,
0,16860,2020-05-14,0,20200518,4,0.0,,
0,16860,2020-05-15,0,20200518,3,0.0,,
0,16860,2020-05-16,0,20200519,3,0.0,,
0,16860,2020-05-17,0,20200521,4,0.0,,
0,16860,2020-05-18,1,20200521,3,50.617533913748,,
0,16860,2020-05-19,0,20200523,4,0.0,,
0,16860,2020-05-20,0,20200524,4,0.0,,
0,16860,2020-05-21,0,20200529,8,0.0,,
0,16860,2020-05-22,0,20200529,7,0.0,,
0,16860,2020-05-23,0,20200529,6,0.0,,
0,16860,2020-05-24,-1,20200529,5,0.0,,
0,16860,2020-05-25,1,20200529,4,63.451776649746,,
0,16860,2020-05-26,1,20200530,4,0.0,,
0,16860,2020-05-27,0,20200531,4,0.0,,
0,16860,2020-05-28,0,20200531,3,0.0,,
0,16860,2020-05-29,0,20200602,4,0.0,,
0,16860,2020-05-30,0,20200607,8,0.0,,
0,16860,2020-05-31,0,20200607,7,64.75006475,,
0,16860,2020-06-01,0,20200607,6,0.0,,
0,16860,2020-06-02,0,20200607,5,0.0,,
0,16860,2020-06-03,0,20200609,6,0.0,,
0,16860,2020-06-04,0,20200610,6,0.0,,
0,16860,2020-06-05,0,20200610,5,0.0,,
0,16860,2020-06-06,-1,20200611,5,0.0,,
0,16860,2020-06-07,0,20200612,5,0.0,,
0,16860,2020-06-08,0,20200613,5,0.0,,
0,16860,2020-06-09,1,20200614,5,52.89885738,,
0,16860,2020-06-10,0,20200615,5,0.0,,
0,16860,2020-06-11,0,20200616,5,0.0,,
0,16860,2020-06-12,0,20200617,5,0.0,,
0,16860,2020-06-13,0,20200618,5,64.64959917,,
0,16860,2020-06-14,0,20200619,5,0.0,,
0,16860,2020-06-15,1,20200620,5,119.24636299,,
0,16860,2020-06-16,0,20200621,5,0.0,,
0,16860,2020-06-17,0,20200622,5,0.0,,
0,16860,2020-06-18,0,20200623,5,0.0,,
0,16860,2020-06-19,-1,20200625,6,0.0,,
0,16860,2020-06-20,0,20200625,5,0.0,,
0,16860,2020-06-21,0,20200626,5,68.13845735,,
0,16860,2020-06-22,1,20200627,5,0.0,,
0,16860,2020-06-23,0,20200628,5,0.0,,
0,16860,2020-06-24,0,20200629,5,0.0,,
0,16860,2020-06-25,1,20200630,5,121.50668287,,
0,16860,2020-06-26,0,20200701,5,0.0,,
0,16860,2020-06-27,0,20200702,5,0.0,,
0,16860,2020-06-28,0,20200703,5,0.0,,
0,16860,2020-06-29,0,20200704,5,122.51899044,,
0,16860,2020-06-30,0,20200705,5,0.0,,
0,16860,2020-07-01,0,20200706,5,0.0,,
0,16860,2020-07-02,0,20200707,5,0.0,,
0,16860,2020-07-03,0,20200708,5,129.39958592,,
0,16860,2020-07-04,0,20200709,5,70.26419337,,
0,16860,2020-07-05,0,20200710,5,0.0,,
0,16860,2020-07-06,1,20200711,5,122.1001221,,
0,16860,2020-07-07,0,20200712,5,0.0,,
0,16860,2020-07-08,0,20200713,5,0.0,,
0,16860,2020-07-09,-1,20200714,5,0.0,,
0,16860,2020-07-10,-1,20200715,5,0.0,,
0,16860,2020-07-11,-1,20200716,5,0.0,,
0,16860,2020-07-12,-1,20200716,4,0.0,,
0,16860,2020-07-13,,20200717,4,62.75100402,,
0,16860,2020-07-14,,20200718,4,62.22000996,,
0,16860,2020-07-15,,20200719,4,63.61323155,,
0,16860,2020-07-16,,20200720,4,127.97542872,,
0,16860,2020-07-17,,20200721,4,0.0,,
0,16860,2020-07-18,,20200722,4,0.0,,
0,16860,2020-07-19,,20200723,4,70.92198582,,
0,16860,2020-07-20,,20200724,4,0.0,,
0,16860,2020-07-21,,20200725,4,0.0,,
0,16860,2020-07-22,,20200726,4,0.0,,
0,16860,2020-07-23,,20200727,4,0.0,,
0,16860,2020-07-24,,20200728,4,0.0,,
0,16860,2020-07-25,,20200729,4,142.612664,,
0,16860,2020-07-26,,20200730,4,68.85155605,,
0,16860,2020-07-27,,20200731,4,0.0,,
0,16860,2020-07-28,,20200801,4,0.0,,
0,16860,2020-07-29,,20200802,4,129.16559029,,
0,16860,2020-07-30,,20200803,4,0.0,,
