,geo_value,time_value,direction,issue,lag,value,stderr,sample_size
0,77,2020-05-27,0,20200531,4,19.731426949179,,
0,77,2020-05-28,0,20200531,3,9.8745037984758,,
0,77,2020-05-29,0,20200602,4,10.226689697494,,
0,77,2020-05-30,0,20200607,8,11.307264852205,,
0,77,2020-05-31,0,20200607,7,0.14897532,,
0,77,2020-06-01,0,20200607,6,10.0523342,,
0,77,2020-06-02,0,20200607,5,30.21578222,,
0,77,2020-06-03,0,20200609,6,0.13824569,,
0,77,2020-06-04,0,20200610,6,0.0,,
0,77,2020-06-05,0,20200610,5,10.18265685,,
0,77,2020-06-06,0,20200611,5,23.33849626,,
0,77,2020-06-07,0,20200612,5,0.0,,
0,77,2020-06-08,0,20200613,5,0.0,,
0,77,2020-06-09,0,20200614,5,0.0,,
0,77,2020-06-10,0,20200615,5,21.27035358,,
0,77,2020-06-11,0,20200616,5,10.48186392,,
0,77,2020-06-12,0,20200617,5,10.87952456,,
0,77,2020-06-13,0,20200618,5,0.0,,
0,77,2020-06-14,0,20200619,5,0.0,,
0,77,2020-06-15,0,20200620,5,0.95468205,,
0,77,2020-06-16,-1,20200621,5,0.14125742,,
0,77,2020-06-17,0,20200622,5,32.6608211,,
0,77,2020-06-18,0,20200623,5,0.0,,
0,77,2020-06-19,1,20200625,6,21.73381913,,
0,77,2020-06-20,0,20200625,5,0.0,,
0,77,2020-06-21,1,20200626,5,74.63897944,,
0,77,2020-06-22,1,20200627,5,33.34465182,,
0,77,2020-06-23,0,20200628,5,0.0,,
0,77,2020-06-24,0,20200629,5,10.8421277,,
0,77,2020-06-25,0,20200630,5,21.91102469,,
0,77,2020-06-26,0,20200701,5,22.619588,,
0,77,2020-06-27,-1,20200702,5,0.0,,
0,77,2020-06-28,0,20200703,5,36.01552864,,
0,77,2020-06-29,1,20200704,5,22.41978089,,
0,77,2020-06-30,0,20200705,5,11.04729113,,
0,77,2020-07-01,0,20200706,5,0.0,,
0,77,2020-07-02,0,20200707,5,33.6436046,,
0,77,2020-07-03,0,20200708,5,0.0,,
0,77,2020-07-04,-1,20200709,5,0.0,,
0,77,2020-07-05,0,20200710,5,40.66532897,,
0,77,2020-07-06,1,20200711,5,55.61864163,,
0,77,2020-07-07,1,20200712,5,33.69828454,,
0,77,2020-07-08,0,20200713,5,22.85031681,,
0,77,2020-07-09,1,20200714,5,55.72111576,,
0,77,2020-07-10,0,20200715,5,12.06693504,,
