,geo_value,time_value,direction,issue,lag,value,stderr,sample_size
0,ca,2020-02-01,,20200506,95,6.8248563090004,,
0,ca,2020-02-02,,20200506,94,4.0495757883841,,
0,ca,2020-02-03,-1,20200506,93,1.0784052251818,,
0,ca,2020-02-04,0,20200506,92,4.5706496291109,,
0,ca,2020-02-05,0,20200506,91,2.3067976326109,,
0,ca,2020-02-06,0,20200506,90,2.3055847793298,,
0,ca,2020-02-07,0,20200506,89,0.0,,
0,ca,2020-02-08,0,20200506,88,1.3836603327141,,
0,ca,2020-02-09,0,20200506,87,0.0,,
0,ca,2020-02-10,0,20200506,86,3.3994149979052,,
0,ca,2020-02-11,0,20200506,85,3.2743290129507,,
0,ca,2020-02-12,0,20200506,84,7.7999799271306,,
0,ca,2020-02-13,0,20200506,83,3.4177566023457,,
0,ca,2020-02-14,0,20200506,82,2.3424498166654,,
0,ca,2020-02-15,0,20200506,81,4.2228082312009,,
0,ca,2020-02-16,0,20200506,80,1.3825386452879,,
0,ca,2020-02-17,0,20200506,79,2.4758446365971,,
0,ca,2020-02-18,0,20200506,78,3.3452240450475,,
0,ca,2020-02-19,0,20200506,77,7.0996394839918,,
0,ca,2020-02-20,0,20200506,76,3.2846469035565,,
0,ca,2020-02-21,0,20200506,75,1.1235527294393,,
0,ca,2020-02-22,0,20200506,74,1.2768050295414,,
0,ca,2020-02-23,0,20200506,73,1.2787422979141,,
0,ca,2020-02-24,0,20200506,72,5.4477600741222,,
0,ca,2020-02-25,0,20200506,71,1.0773925065143,,
0,ca,2020-02-26,0,20200506,70,4.2724360799721,,
0,ca,2020-02-27,0,20200506,69,3.2109395727796,,
0,ca,2020-02-28,0,20200506,68,9.3462269499483,,
0,ca,2020-02-29,0,20200506,67,4.4967439391625,,
0,ca,2020-03-01,0,20200506,66,7.6559783322037,,
0,ca,2020-03-02,0,20200506,65,8.0216954924982,,
0,ca,2020-03-03,0,20200506,64,5.2261633992095,,
0,ca,2020-03-04,0,20200506,63,7.666761000811,,
0,ca,2020-03-05,0,20200506,62,9.5833873008593,,
0,ca,2020-03-06,0,20200506,61,10.820183920732,,
0,ca,2020-03-07,0,20200506,60,10.771304966224,,
0,ca,2020-03-08,0,20200506,59,6.9558882603321,,
0,ca,2020-03-09,0,20200506,58,9.4489705450581,,
0,ca,2020-03-10,0,20200506,57,9.8089431002495,,
0,ca,2020-03-11,0,20200506,56,11.835412790321,,
0,ca,2020-03-12,0,20200506,55,24.942537087916,,
0,ca,2020-03-13,0,20200506,54,21.31684938104,,
0,ca,2020-03-14,1,20200506,53,24.084138743797,,
0,ca,2020-03-15,1,20200506,52,26.370128012477,,
0,ca,2020-03-16,1,20200506,51,29.483071936398,,
0,ca,2020-03-17,1,20200506,50,40.28093364689,,
0,ca,2020-03-18,0,20200506,49,30.551223151295,,
0,ca,2020-03-19,0,20200506,48,26.748224493813,,
0,ca,2020-03-20,0,20200506,47,26.437824985656,,
0,ca,2020-03-21,0,20200506,46,43.465111015169,,
0,ca,2020-03-22,0,20200506,45,40.875072804946,,
0,ca,2020-03-23,1,20200506,44,75.766039157663,,
0,ca,2020-03-24,1,20200506,43,50.057479361414,,
0,ca,2020-03-25,1,20200506,42,50.216293331133,,
0,ca,2020-03-26,0,20200506,41,42.654455536864,,
