geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size,data_source,county
6001,deaths_7dav_incidence_prop,13/4/2020,NA,12/11/2020,213,0.085475177,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,14/4/2020,NA,12/11/2020,212,0.068380142,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,15/4/2020,NA,12/11/2020,211,0.170950355,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,16/4/2020,NA,12/11/2020,210,0.18804539,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,17/4/2020,NA,12/11/2020,209,0.162402837,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,18/4/2020,NA,12/11/2020,208,0.170950355,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,19/4/2020,NA,12/11/2020,207,0.162402837,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,20/4/2020,NA,12/11/2020,206,0.162402837,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,21/4/2020,NA,12/11/2020,205,0.170950355,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,22/4/2020,NA,12/11/2020,204,0.07692766,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,23/4/2020,NA,12/11/2020,203,0.059832624,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,24/4/2020,NA,12/11/2020,202,0.07692766,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,25/4/2020,NA,12/11/2020,201,0.094022695,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,26/4/2020,NA,12/11/2020,200,0.085475177,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,27/4/2020,NA,12/11/2020,199,0.085475177,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,28/4/2020,NA,12/11/2020,198,0.102570213,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,29/4/2020,NA,12/11/2020,197,0.102570213,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,30/4/2020,NA,12/11/2020,196,0.119665248,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,1/5/2020,NA,12/11/2020,195,0.119665248,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,2/5/2020,NA,12/11/2020,194,0.094022695,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,3/5/2020,NA,12/11/2020,193,0.094022695,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,4/5/2020,NA,12/11/2020,192,0.094022695,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,5/5/2020,NA,12/11/2020,191,0.094022695,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,6/5/2020,NA,12/11/2020,190,0.07692766,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,7/5/2020,NA,12/11/2020,189,0.059832624,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,8/5/2020,NA,12/11/2020,188,0.068380142,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,9/5/2020,NA,12/11/2020,187,0.068380142,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,10/5/2020,NA,12/11/2020,186,0.068380142,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,11/5/2020,NA,12/11/2020,185,0.068380142,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,12/5/2020,NA,12/11/2020,184,0.068380142,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,13/5/2020,NA,12/11/2020,183,0.085475177,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,14/5/2020,NA,12/11/2020,182,0.102570213,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,15/5/2020,NA,12/11/2020,181,0.102570213,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,16/5/2020,NA,12/11/2020,180,0.102570213,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,17/5/2020,NA,12/11/2020,179,0.102570213,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,18/5/2020,NA,12/11/2020,178,0.102570213,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,19/5/2020,NA,12/11/2020,177,0.102570213,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,20/5/2020,NA,12/11/2020,176,0.102570213,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,21/5/2020,NA,12/11/2020,175,0.094022695,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,22/5/2020,NA,12/11/2020,174,0.068380142,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,23/5/2020,NA,12/11/2020,173,0.07692766,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,24/5/2020,NA,12/11/2020,172,0.085475177,NA,NA,indicator-combination,Alameda County
