No.,Index,Bandwidth_For_Smoothing,First_Derivative_Quantile_Threshold,Min_Percent_Increase,Period_Increase,Success_Window,Min_Success_Window,Number_Success_Examples,Most_Frequent_Leadingness,Recall,Precision,F1_score
194,148,7,0.75,0.2,7,21,1,13,3,0.007989348,0.008053691,0.00802139
195,256,7,0.75,0.2,7,14,3,6,7,0.007989348,0.008053691,0.00802139
196,364,7,0.75,0.2,7,21,3,9,7,0.007989348,0.008053691,0.00802139
197,64,7,0.75,0.15,7,14,1,7,3,0.007989348,0.008032129,0.008010681
198,172,7,0.75,0.15,7,21,1,11,3,0.007989348,0.008032129,0.008010681
199,280,7,0.75,0.15,7,14,3,6,7,0.007989348,0.008032129,0.008010681
200,388,7,0.75,0.15,7,21,3,8,7,0.007989348,0.008032129,0.008010681
201,47,14,0.5,0.2,7,14,1,8,4,0.007989348,0.008,0.00799467
202,155,14,0.5,0.2,7,21,1,10,4,0.007989348,0.008,0.00799467
203,263,14,0.5,0.2,7,14,3,6,4,0.007989348,0.008,0.00799467
204,371,14,0.5,0.2,7,21,3,7,4,0.007989348,0.008,0.00799467
205,14,12,0.75,0.1,5,14,1,7,10,0.007989348,0.007989348,0.007989348
206,61,10,0.75,0.15,7,14,1,7,3,0.007989348,0.007989348,0.007989348
207,122,12,0.75,0.1,5,21,1,12,3,0.007989348,0.007989348,0.007989348
208,169,10,0.75,0.15,7,21,1,14,6,0.007989348,0.007989348,0.007989348
209,230,12,0.75,0.1,5,14,3,6,10,0.007989348,0.007989348,0.007989348
210,277,10,0.75,0.15,7,14,3,6,11,0.007989348,0.007989348,0.007989348
211,338,12,0.75,0.1,5,21,3,8,10,0.007989348,0.007989348,0.007989348
212,385,10,0.75,0.15,7,21,3,12,6,0.007989348,0.007989348,0.007989348
213,11,14,0.5,0.2,5,14,1,6,4,0.00665779,0.006666667,0.006662225
214,26,12,0.75,0.15,5,14,1,8,3,0.00665779,0.006666667,0.006662225
215,98,12,0.75,0.15,3,14,1,8,3,0.00665779,0.006666667,0.006662225
216,119,14,0.5,0.2,5,21,1,8,4,0.00665779,0.006666667,0.006662225
217,134,12,0.75,0.15,5,21,1,14,3,0.00665779,0.006666667,0.006662225
218,206,12,0.75,0.15,3,21,1,14,3,0.00665779,0.006666667,0.006662225
219,227,14,0.5,0.2,5,14,3,5,4,0.00665779,0.006666667,0.006662225
220,242,12,0.75,0.15,5,14,3,5,10,0.00665779,0.006666667,0.006662225
221,314,12,0.75,0.15,3,14,3,5,10,0.00665779,0.006666667,0.006662225
222,335,14,0.5,0.2,5,21,3,6,4,0.00665779,0.006666667,0.006662225
223,350,12,0.75,0.15,5,21,3,9,10,0.00665779,0.006666667,0.006662225
224,422,12,0.75,0.15,3,21,3,8,10,0.00665779,0.006666667,0.006662225
225,49,10,0.75,0.1,7,14,1,8,6,0.00665779,0.00665779,0.00665779
226,71,14,0.5,0.15,7,14,1,8,4,0.00665779,0.00665779,0.00665779
227,86,12,0.75,0.1,3,14,1,5,10,0.00665779,0.00665779,0.00665779
228,157,10,0.75,0.1,7,21,1,13,6,0.00665779,0.00665779,0.00665779
229,179,14,0.5,0.15,7,21,1,10,4,0.00665779,0.00665779,0.00665779
230,194,12,0.75,0.1,3,21,1,10,10,0.00665779,0.00665779,0.00665779
231,265,10,0.75,0.1,7,14,3,5,11,0.00665779,0.00665779,0.00665779
232,287,14,0.5,0.15,7,14,3,5,4,0.00665779,0.00665779,0.00665779
233,302,12,0.75,0.1,3,14,3,5,10,0.00665779,0.00665779,0.00665779
234,373,10,0.75,0.1,7,21,3,9,6,0.00665779,0.00665779,0.00665779
235,395,14,0.5,0.15,7,21,3,6,4,0.00665779,0.00665779,0.00665779
236,410,12,0.75,0.1,3,21,3,6,10,0.00665779,0.00665779,0.00665779
237,80,7,0.85,0.2,3,14,1,7,2,0.005326232,0.005398111,0.00536193
238,188,7,0.85,0.2,3,21,1,12,6,0.005326232,0.005398111,0.00536193
239,296,7,0.85,0.2,3,14,3,4,6,0.005326232,0.005398111,0.00536193
240,404,7,0.85,0.2,3,21,3,8,6,0.005326232,0.005398111,0.00536193
241,83,14,0.5,0.2,3,14,1,5,4,0.005326232,0.005333333,0.00532978
242,191,14,0.5,0.2,3,21,1,7,4,0.005326232,0.005333333,0.00532978
243,299,14,0.5,0.2,3,14,3,4,4,0.005326232,0.005333333,0.00532978
244,407,14,0.5,0.2,3,21,3,5,4,0.005326232,0.005333333,0.00532978
245,59,14,0.5,0.1,7,14,1,8,4,0.005326232,0.005326232,0.005326232
246,167,14,0.5,0.1,7,21,1,10,4,0.005326232,0.005326232,0.005326232
247,275,14,0.5,0.1,7,14,3,4,4,0.005326232,0.005326232,0.005326232
248,383,14,0.5,0.1,7,21,3,4,4,0.005326232,0.005326232,0.005326232
249,1,10,0.75,0.2,5,14,1,4,3,0.003994674,0.004037685,0.004016064
250,73,10,0.75,0.2,3,14,1,4,3,0.003994674,0.004037685,0.004016064
251,109,10,0.75,0.2,5,21,1,13,6,0.003994674,0.004037685,0.004016064
252,181,10,0.75,0.2,3,21,1,11,6,0.003994674,0.004037685,0.004016064
253,217,10,0.75,0.2,5,14,3,3,6,0.003994674,0.004037685,0.004016064
254,289,10,0.75,0.2,3,14,3,3,6,0.003994674,0.004037685,0.004016064
255,325,10,0.75,0.2,5,21,3,9,6,0.003994674,0.004037685,0.004016064
256,397,10,0.75,0.2,3,21,3,7,6,0.003994674,0.004037685,0.004016064
257,23,14,0.5,0.1,5,14,1,6,4,0.003994674,0.003994674,0.003994674
258,35,14,0.5,0.15,5,14,1,5,4,0.003994674,0.003994674,0.003994674
259,45,10,0.5,0.2,7,14,1,4,7,0.003994674,0.003994674,0.003994674
260,89,10,0.85,0.1,3,14,1,3,5,0.003994674,0.003994674,0.003994674
261,131,14,0.5,0.1,5,21,1,8,4,0.003994674,0.003994674,0.003994674
262,143,14,0.5,0.15,5,21,1,7,4,0.003994674,0.003994674,0.003994674
263,153,10,0.5,0.2,7,21,1,5,2,0.003994674,0.003994674,0.003994674
264,197,10,0.85,0.1,3,21,1,11,8,0.003994674,0.003994674,0.003994674
265,239,14,0.5,0.1,5,14,3,3,4,0.003994674,0.003994674,0.003994674
266,251,14,0.5,0.15,5,14,3,3,4,0.003994674,0.003994674,0.003994674
267,261,10,0.5,0.2,7,14,3,3,7,0.003994674,0.003994674,0.003994674
268,305,10,0.85,0.1,3,14,3,3,5,0.003994674,0.003994674,0.003994674
269,347,14,0.5,0.1,5,21,3,3,4,0.003994674,0.003994674,0.003994674
270,359,14,0.5,0.15,5,21,3,4,4,0.003994674,0.003994674,0.003994674
271,369,10,0.5,0.2,7,21,3,3,7,0.003994674,0.003994674,0.003994674
272,413,10,0.85,0.1,3,21,3,10,15,0.003994674,0.003994674,0.003994674
273,9,10,0.5,0.2,5,14,1,3,2,0.002663116,0.002663116,0.002663116
274,10,12,0.5,0.2,5,14,1,3,4,0.002663116,0.002663116,0.002663116
275,46,12,0.5,0.2,7,14,1,3,4,0.002663116,0.002663116,0.002663116
276,81,10,0.5,0.2,3,14,1,3,2,0.002663116,0.002663116,0.002663116
277,92,7,0.85,0.1,3,14,1,4,2,0.002663116,0.002663116,0.002663116
278,95,14,0.5,0.1,3,14,1,5,4,0.002663116,0.002663116,0.002663116
279,104,7,0.85,0.15,3,14,1,4,-19,0.002663116,0.002663116,0.002663116
280,107,14,0.5,0.15,3,14,1,4,4,0.002663116,0.002663116,0.002663116
281,117,10,0.5,0.2,5,21,1,4,2,0.002663116,0.002663116,0.002663116
282,118,12,0.5,0.2,5,21,1,5,4,0.002663116,0.002663116,0.002663116
