No.,Index,Bandwidth_For_Smoothing,First_Derivative_Quantile_Threshold,Min_Percent_Increase,Period_Increase,Success_Window,Min_Success_Window,Number_Success_Examples,Most_Frequent_Leadingness,Recall,Precision,F1_score
327,229,10,0.75,0.1,5,14,3,1,12,0.001331558,0.001331558,0.001331558
328,241,10,0.75,0.15,5,14,3,1,12,0.001331558,0.001331558,0.001331558
329,249,10,0.5,0.15,5,14,3,1,14,0.001331558,0.001331558,0.001331558
330,250,12,0.5,0.15,5,14,3,1,7,0.001331558,0.001331558,0.001331558
331,285,10,0.5,0.15,7,14,3,1,14,0.001331558,0.001331558,0.001331558
332,286,12,0.5,0.15,7,14,3,1,7,0.001331558,0.001331558,0.001331558
333,298,12,0.5,0.2,3,14,3,1,5,0.001331558,0.001331558,0.001331558
334,301,10,0.75,0.1,3,14,3,1,12,0.001331558,0.001331558,0.001331558
335,313,10,0.75,0.15,3,14,3,1,12,0.001331558,0.001331558,0.001331558
336,321,10,0.5,0.15,3,14,3,1,14,0.001331558,0.001331558,0.001331558
337,322,12,0.5,0.15,3,14,3,1,7,0.001331558,0.001331558,0.001331558
338,337,10,0.75,0.1,5,21,3,3,-2,0.001331558,0.001331558,0.001331558
339,349,10,0.75,0.15,5,21,3,5,-2,0.001331558,0.001331558,0.001331558
340,357,10,0.5,0.15,5,21,3,2,14,0.001331558,0.001331558,0.001331558
341,358,12,0.5,0.15,5,21,3,3,4,0.001331558,0.001331558,0.001331558
342,393,10,0.5,0.15,7,21,3,2,14,0.001331558,0.001331558,0.001331558
343,394,12,0.5,0.15,7,21,3,3,4,0.001331558,0.001331558,0.001331558
344,406,12,0.5,0.2,3,21,3,3,4,0.001331558,0.001331558,0.001331558
345,409,10,0.75,0.1,3,21,3,3,-2,0.001331558,0.001331558,0.001331558
346,421,10,0.75,0.15,3,21,3,3,-2,0.001331558,0.001331558,0.001331558
347,429,10,0.5,0.15,3,21,3,2,14,0.001331558,0.001331558,0.001331558
348,430,12,0.5,0.15,3,21,3,3,4,0.001331558,0.001331558,0.001331558
349,4,7,0.75,0.2,5,14,1,1,2,0,0,NA
350,12,7,0.5,0.2,5,14,1,0,-1,0,0,NA
351,16,7,0.75,0.1,5,14,1,1,3,0,0,NA
352,21,10,0.5,0.1,5,14,1,0,-1,0,0,NA
353,22,12,0.5,0.1,5,14,1,1,2,0,0,NA
354,24,7,0.5,0.1,5,14,1,0,-1,0,0,NA
355,28,7,0.75,0.15,5,14,1,1,3,0,0,NA
356,36,7,0.5,0.15,5,14,1,0,-1,0,0,NA
357,48,7,0.5,0.2,7,14,1,0,-1,0,0,NA
358,57,10,0.5,0.1,7,14,1,1,2,0,0,NA
359,58,12,0.5,0.1,7,14,1,1,2,0,0,NA
360,60,7,0.5,0.1,7,14,1,0,-1,0,0,NA
361,72,7,0.5,0.15,7,14,1,0,-1,0,0,NA
362,76,7,0.75,0.2,3,14,1,2,2,0,0,NA
363,84,7,0.5,0.2,3,14,1,0,-1,0,0,NA
364,88,7,0.75,0.1,3,14,1,1,-20,0,0,NA
365,93,10,0.5,0.1,3,14,1,0,-1,0,0,NA
366,94,12,0.5,0.1,3,14,1,1,2,0,0,NA
367,96,7,0.5,0.1,3,14,1,0,-1,0,0,NA
368,100,7,0.75,0.15,3,14,1,0,-1,0,0,NA
369,108,7,0.5,0.15,3,14,1,0,-1,0,0,NA
370,112,7,0.75,0.2,5,21,1,4,-13,0,0,NA
371,120,7,0.5,0.2,5,21,1,2,-7,0,0,NA
372,124,7,0.75,0.1,5,21,1,5,3,0,0,NA
373,129,10,0.5,0.1,5,21,1,0,-1,0,0,NA
374,130,12,0.5,0.1,5,21,1,2,-76,0,0,NA
375,132,7,0.5,0.1,5,21,1,3,-44,0,0,NA
376,136,7,0.75,0.15,5,21,1,4,3,0,0,NA
377,144,7,0.5,0.15,5,21,1,3,-44,0,0,NA
378,156,7,0.5,0.2,7,21,1,2,19,0,0,NA
379,165,10,0.5,0.1,7,21,1,1,2,0,0,NA
380,166,12,0.5,0.1,7,21,1,2,-76,0,0,NA
381,168,7,0.5,0.1,7,21,1,2,19,0,0,NA
382,180,7,0.5,0.15,7,21,1,2,19,0,0,NA
383,184,7,0.75,0.2,3,21,1,4,6,0,0,NA
384,192,7,0.5,0.2,3,21,1,1,-7,0,0,NA
385,196,7,0.75,0.1,3,21,1,2,6,0,0,NA
386,201,10,0.5,0.1,3,21,1,0,-1,0,0,NA
387,202,12,0.5,0.1,3,21,1,2,-76,0,0,NA
388,204,7,0.5,0.1,3,21,1,1,-7,0,0,NA
389,208,7,0.75,0.15,3,21,1,2,6,0,0,NA
390,216,7,0.5,0.15,3,21,1,1,-7,0,0,NA
391,220,7,0.75,0.2,5,14,3,0,-1,0,0,NA
392,228,7,0.5,0.2,5,14,3,0,-1,0,0,NA
393,232,7,0.75,0.1,5,14,3,0,-1,0,0,NA
394,237,10,0.5,0.1,5,14,3,0,-1,0,0,NA
395,238,12,0.5,0.1,5,14,3,0,-1,0,0,NA
396,240,7,0.5,0.1,5,14,3,0,-1,0,0,NA
397,244,7,0.75,0.15,5,14,3,0,-1,0,0,NA
398,252,7,0.5,0.15,5,14,3,0,-1,0,0,NA
399,264,7,0.5,0.2,7,14,3,0,-1,0,0,NA
400,273,10,0.5,0.1,7,14,3,0,-1,0,0,NA
401,274,12,0.5,0.1,7,14,3,0,-1,0,0,NA
402,276,7,0.5,0.1,7,14,3,0,-1,0,0,NA
403,288,7,0.5,0.15,7,14,3,0,-1,0,0,NA
404,292,7,0.75,0.2,3,14,3,0,-1,0,0,NA
405,300,7,0.5,0.2,3,14,3,0,-1,0,0,NA
406,304,7,0.75,0.1,3,14,3,0,-1,0,0,NA
407,309,10,0.5,0.1,3,14,3,0,-1,0,0,NA
408,310,12,0.5,0.1,3,14,3,0,-1,0,0,NA
409,312,7,0.5,0.1,3,14,3,0,-1,0,0,NA
410,316,7,0.75,0.15,3,14,3,0,-1,0,0,NA
411,324,7,0.5,0.15,3,14,3,0,-1,0,0,NA
412,328,7,0.75,0.2,5,21,3,1,-13,0,0,NA
413,336,7,0.5,0.2,5,21,3,2,-7,0,0,NA
414,340,7,0.75,0.1,5,21,3,2,7,0,0,NA
415,345,10,0.5,0.1,5,21,3,0,-1,0,0,NA
416,346,12,0.5,0.1,5,21,3,0,-1,0,0,NA
417,348,7,0.5,0.1,5,21,3,2,-7,0,0,NA
418,352,7,0.75,0.15,5,21,3,1,12,0,0,NA
419,360,7,0.5,0.15,5,21,3,2,-7,0,0,NA
420,372,7,0.5,0.2,7,21,3,2,19,0,0,NA
421,381,10,0.5,0.1,7,21,3,0,-1,0,0,NA
422,382,12,0.5,0.1,7,21,3,0,-1,0,0,NA
423,384,7,0.5,0.1,7,21,3,2,19,0,0,NA
424,396,7,0.5,0.15,7,21,3,2,19,0,0,NA
425,400,7,0.75,0.2,3,21,3,2,6,0,0,NA
426,408,7,0.5,0.2,3,21,3,1,-7,0,0,NA
427,412,7,0.75,0.1,3,21,3,2,6,0,0,NA
428,417,10,0.5,0.1,3,21,3,0,-1,0,0,NA
429,418,12,0.5,0.1,3,21,3,0,-1,0,0,NA
430,420,7,0.5,0.1,3,21,3,1,-7,0,0,NA
431,424,7,0.75,0.15,3,21,3,1,6,0,0,NA
432,432,7,0.5,0.15,3,21,3,1,-7,0,0,NA
